,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00016165,52.5471949105628,0.503401211686481,0.25255517229292,1.99323263553131,0.0462359790177642,0.067399894751911,wdr-60,1.1713407816353
WBGene00020019,131.133885772816,-0.345087834629663,0.173160487149583,-1.99287863132172,0.0462747387581297,0.067449873058823,R12B2.3,1.17101886333684
WBGene00012149,7063.35417069844,-0.0592424198291531,0.0297392405921747,-1.99206229377429,0.0463642234337271,0.0675737710130119,VF13D12L.3,1.17022184421778
WBGene00021052,35.7038390561495,-0.705342554204519,0.35418588659103,-1.99144737525626,0.0464317252700114,0.0676656091071142,W06A11.1,1.1696320044301
WBGene00013226,43.5300825561352,0.575034951690794,0.288768019012869,1.99133876963421,0.0464436558951931,0.0676764525626687,faah-5,1.16956241404757
WBGene00018005,31.7055597030159,-0.639822475283482,0.321397980597233,-1.99074827444323,0.046508568578217,0.06776449049584,nlp-62,1.16899782267518
WBGene00016152,40.6511592574178,-0.569008957482268,0.285865757588136,-1.99047609718291,0.0465385145185058,0.0678015686581711,pho-12,1.16876025817266
WBGene00044219,129.535195791728,0.322530833020987,0.162153999882968,1.98904025342433,0.0466967600848625,0.0680255402299345,F28F8.10,1.16732800055228
WBGene00020977,62.5774732325859,-0.485950787562512,0.244363247473938,-1.98864106033106,0.0467408358606925,0.0680831676583125,oac-52,1.16696024633531
WBGene00011309,1562.76405253816,0.106599829043764,0.0536199699917121,1.98806207948719,0.0468048245986196,0.0681697865663343,R186.8,1.16640806573762
WBGene00003705,163.467107006639,-0.286868504442611,0.144311144243923,-1.9878472029695,0.0468285914153328,0.0681954812255594,nhr-115,1.1662444016459
WBGene00019975,128.262334719355,-0.323572279292236,0.162778794860656,-1.9878036298845,0.0468334121355903,0.0681954812255594,flp-34,1.1662444016459
WBGene00022142,25.7290742091539,-0.724208291435676,0.364330224422997,-1.98777988453368,0.0468360393847934,0.0681954812255594,Y71G12B.2,1.1662444016459
WBGene00008863,47.4990055082769,0.559821185352451,0.281675247083766,1.98747029122502,0.0468703049679119,0.068238781684665,F15D4.6,1.16596873553852
WBGene00011285,55.0374994798761,-0.511758661955248,0.257510685316309,-1.98732981245667,0.0468858600207806,0.0682548356280883,ttr-28,1.16586657487766
WBGene00020989,617.678273057636,-0.152176500810409,0.0765756483781037,-1.98727015746592,0.0468924668632181,0.0682578612292889,W03D8.8,1.16584732389315
WBGene00044533,24.5109604267902,-0.730768192455607,0.368011795708905,-1.98571948230062,0.0470644805096546,0.0685016333258038,F41F3.8,1.16429907323857
WBGene00008117,9847.36333516921,0.0527172342287241,0.0265537589875579,1.98530212816293,0.047110867414781,0.0685625281976436,gsr-1,1.16391317646931
WBGene00012163,31.1595995184645,-0.684403884499385,0.344962388786738,-1.98399566661888,0.0472563230145192,0.068767576443121,VZK822L.2,1.16261628110986
WBGene00008151,3677.13998174827,0.0760839569543844,0.038354289582738,1.98371441062038,0.0472876861612048,0.0688065733669119,rrp-1,1.16237006989517
WBGene00009597,18.7274138035048,-0.8369424834485,0.422048230923743,-1.98304938186015,0.0473619138404629,0.0689079273472294,F40G12.2,1.16173081285122
WBGene00019225,827.99606980905,-0.138528937448036,0.0698750073230613,-1.98252483620587,0.0474205304906183,0.0689865511133181,bgal-2,1.16123556645933
WBGene00012821,55.7542536150887,-0.504250881779891,0.254390877352812,-1.98218932623339,0.0474580548588924,0.0690344779857252,Y43F8B.11,1.16093395478184
WBGene00017840,319.861024177527,0.209505062894075,0.105715082686351,1.98178970843415,0.0475027818001095,0.0690928717623324,ttm-2,1.16056675601179
WBGene00023422,1845.7629351135,0.0978290071242663,0.0493663661051704,1.98169350597633,0.0475135544839488,0.0691018725141413,mrpl-21,1.16051018400727
WBGene00044080,18478.8214579063,-0.167851113258582,0.0847222828591817,-1.98119205000141,0.0475697404355163,0.0691769124538868,D1086.10,1.16003882558507
WBGene00003688,168.545246259971,-0.278274656344469,0.140471652352439,-1.98100222845167,0.047591023680297,0.0692011865650315,nhr-98,1.15988645880585
WBGene00020701,466.778689744905,-0.172828878918909,0.0873301352491559,-1.97902909947205,0.0478127300799691,0.0695168593127591,T22F7.1,1.1579098570132
WBGene00003408,790.004140451029,-0.134985609279746,0.0682108188817342,-1.97894720357759,0.0478219508675703,0.0695235595512044,mrp-2,1.15786800045652
WBGene00017432,37.7314142566988,0.583074969248348,0.294694421288236,1.97857484610492,0.0478638940292494,0.0695778257018879,F13H6.4,1.15752914702313
WBGene00010646,324.550586868643,-0.218774719260205,0.11061251120104,-1.97784786625608,0.0479458717396186,0.0696902723945295,K08C7.1,1.15682783797386
WBGene00013736,461.76169768841,-0.181549503786254,0.0917983516588451,-1.97769895107655,0.0479626786763354,0.069707979528339,gtf-2A2,1.15671750501862
WBGene00006439,230375.467887642,0.0383323794864793,0.0193840729144061,1.97751936116537,0.047982954224671,0.0697307239711209,ant-1.1,1.15657582575979
WBGene00016916,65.0236365458459,-0.44928946236896,0.227322191438217,-1.9764434766637,0.0481045715474889,0.0699007236995374,C54D2.2,1.15551832787251
WBGene00012549,164.869213249795,-0.311572281380968,0.15769453799741,-1.97579627891795,0.0481778550631557,0.0700004635981247,Y37D8A.8,1.15489908373659
WBGene00015227,73.202368598724,-0.445840174645656,0.225677639087868,-1.97556202930707,0.0482044027296805,0.0700322855271782,ddn-1,1.15470170007433
WBGene00018958,315.66377029104,-0.215256273285835,0.108987513703449,-1.97505444404888,0.048261969877624,0.0701091626797828,F56C11.6,1.15422521967632
WBGene00077682,58.4128265625797,-0.477511115821433,0.241824186191967,-1.97462099776228,0.0483111743509344,0.0701738779022486,F58B4.7,1.15382452311472
WBGene00009589,91.9888061811725,-0.3877820860373,0.196431553368573,-1.9741333782037,0.0483665788911971,0.0702475856260372,F40F11.4,1.15336859764791
WBGene00011092,432.531889043389,0.177712376293844,0.0900789466050658,1.97285140414653,0.0485124946028599,0.0704527248433286,R07B7.8,1.1521022053717
WBGene00014156,141.277969875733,-0.314461168044308,0.159432934160717,-1.97237270768231,0.0485670750781594,0.0705251948606066,ZK930.6,1.15165570521841
WBGene00017370,38.9740097819438,-0.579935027363029,0.294126082963912,-1.97172253993599,0.048641289105781,0.0706239816218187,F10G7.6,1.15104780153305
WBGene00017176,41.9543429275848,-0.589797254114527,0.299132147925048,-1.97169464467694,0.0486444753663983,0.0706239816218187,nmur-3,1.15104780153305
WBGene00004455,133.166339430494,-0.350554302010097,0.177861223552087,-1.97094282277573,0.0487304162279002,0.0707419400754251,rpl-42,1.15032303396857
WBGene00007955,2483.65093497876,-0.0860237660514422,0.0436748433892087,-1.9696410880021,0.0488795191397723,0.0709515593214357,selt-1.1,1.14903805549539
